Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
spine,ISMS1ITSP03A,Ethernet3/3/1,l3leaf,IS11KEIT01A,Ethernet2/1/1,True
spine,ISMS1ITSP03A,Ethernet3/4/1,l3leaf,ISM2WIT01A,Ethernet2/1/1,True
spine,ISMS1ITSP03A,Ethernet3/5/1,l3leaf,IS00AIT01A,Ethernet2/1/1,True
spine,ISMS1ITSP03A,Ethernet3/6/1,l3leaf,IS02AIT01A,Ethernet2/1/1,True
spine,ISMS1ITSP03A,Ethernet4/1/1,l3leaf,ISMS1ITBL02A,Ethernet27/1,True
spine,ISMS1ITSP03A,Ethernet4/2/1,l3leaf,IS11AIT01A,Ethernet2/1/1,True
spine,ISMS1ITSP03A,Ethernet4/3/1,l3leaf,IS11HEIT01A,Ethernet2/1/1,True
spine,ISMS1ITSP03A,Ethernet4/4/1,l3leaf,ISM3XNIT01A,Ethernet2/1/1,True
spine,ISMS1ITSP03A,Ethernet4/5/1,l3leaf,IS00BIT01A,Ethernet2/1/1,True
spine,ISMS1ITSP03A,Ethernet4/6/1,l3leaf,IS02BIT01A,Ethernet2/1/1,True
spine,ISMS1ITSP03A,Ethernet5/1/1,l3leaf,ISMITAGG01A,Ethernet51/1,True
spine,ISMS1ITSP03A,Ethernet5/2/1,l3leaf,IS11JWIT01A,Ethernet2/1/1,True
spine,ISMS1ITSP03A,Ethernet5/3/1,l3leaf,IS11DEIT01A,Ethernet2/1/1,True
spine,ISMS1ITSP03A,Ethernet5/4/1,l3leaf,ISM3XNIT02A,Ethernet2/1/1,True
spine,ISMS1ITSP03A,Ethernet5/5/1,l3leaf,IS00CIT01A,Ethernet2/1/1,True
spine,ISMS1ITSP03A,Ethernet5/6/1,l3leaf,IS03AIT01A,Ethernet2/1/1,True
spine,ISMS1ITSP03A,Ethernet6/1/1,l3leaf,ISMITAGG02A,Ethernet51/1,True
spine,ISMS1ITSP03A,Ethernet6/2/1,l3leaf,IS11GWIT01A,Ethernet2/1/1,True
spine,ISMS1ITSP03A,Ethernet6/3/1,l3leaf,IS11BEIT01A,Ethernet2/1/1,True
spine,ISMS1ITSP03A,Ethernet6/4/1,l3leaf,ISM3XSIT01A,Ethernet2/1/1,True
spine,ISMS1ITSP03A,Ethernet6/5/1,l3leaf,IS01AIT01A,Ethernet2/1/1,True
spine,ISMS1ITSP03A,Ethernet6/6/1,l3leaf,IS03BIT01A,Ethernet2/1/1,True
spine,ISMS1ITSP03A,Ethernet7/1/1,l3leaf,IS11JIT01A,Ethernet2/1/1,True
spine,ISMS1ITSP03A,Ethernet7/2/1,l3leaf,IS11EWIT01A,Ethernet2/1/1,True
spine,ISMS1ITSP03A,Ethernet7/3/1,l3leaf,ISM0WIT01A,Ethernet2/1/1,True
spine,ISMS1ITSP03A,Ethernet7/4/1,l3leaf,ISM3XSIT02A,Ethernet2/1/1,True
spine,ISMS1ITSP03A,Ethernet7/5/1,l3leaf,IS01BIT01A,Ethernet2/1/1,True
spine,ISMS1ITSP03A,Ethernet7/6/1,l3leaf,ISM1YIT01A,Ethernet2/1/1,True
spine,ISMS1ITSP03A,Ethernet8/1/1,l3leaf,IS11GIT01A,Ethernet2/1/1,True
spine,ISMS1ITSP03A,Ethernet8/2/1,l3leaf,IS11CWIT01A,Ethernet2/1/1,True
spine,ISMS1ITSP03A,Ethernet8/3/1,l3leaf,ISM1WIT01A,Ethernet2/1/1,True
spine,ISMS1ITSP03A,Ethernet8/4/1,l3leaf,ISM3WIT01A,Ethernet2/1/1,True
spine,ISMS1ITSP03A,Ethernet8/5/1,l3leaf,IS01CIT01A,Ethernet2/1/1,True
spine,ISMS1ITSP03A,Ethernet8/6/1,l3leaf,ISM1VIT01A,Ethernet2/1/1,True
