Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,is11ewit01a,Ethernet2/1/1,spine,isms1itsp03a,Ethernet7/2/1,True
l3leaf,is11git01a,Ethernet1/1/1,spine,isms1itsp01a,Ethernet8/1/1,True
l3leaf,is11git01a,Ethernet1/2/1,spine,isms1itsp02a,Ethernet8/1/1,True
l3leaf,is11git01a,Ethernet2/1/1,spine,isms1itsp03a,Ethernet8/1/1,True
l3leaf,is11gwit01a,Ethernet1/1/1,spine,isms1itsp01a,Ethernet6/2/1,True
l3leaf,is11gwit01a,Ethernet1/2/1,spine,isms1itsp02a,Ethernet6/2/1,True
l3leaf,is11gwit01a,Ethernet2/1/1,spine,isms1itsp03a,Ethernet6/2/1,True
l3leaf,is11heit01a,Ethernet1/1/1,spine,isms1itsp01a,Ethernet4/3/1,True
l3leaf,is11heit01a,Ethernet1/2/1,spine,isms1itsp02a,Ethernet4/3/1,True
l3leaf,is11heit01a,Ethernet2/1/1,spine,isms1itsp03a,Ethernet4/3/1,True
l3leaf,is11jit01a,Ethernet1/1/1,spine,isms1itsp01a,Ethernet7/1/1,True
l3leaf,is11jit01a,Ethernet1/2/1,spine,isms1itsp02a,Ethernet7/1/1,True
l3leaf,is11jit01a,Ethernet2/1/1,spine,isms1itsp03a,Ethernet7/1/1,True
l3leaf,is11jwit01a,Ethernet1/1/1,spine,isms1itsp01a,Ethernet5/2/1,True
l3leaf,is11jwit01a,Ethernet1/2/1,spine,isms1itsp02a,Ethernet5/2/1,True
l3leaf,is11jwit01a,Ethernet2/1/1,spine,isms1itsp03a,Ethernet5/2/1,True
l3leaf,is11keit01a,Ethernet1/1/1,spine,isms1itsp01a,Ethernet3/3/1,True
l3leaf,is11keit01a,Ethernet1/2/1,spine,isms1itsp02a,Ethernet3/3/1,True
l3leaf,is11keit01a,Ethernet2/1/1,spine,isms1itsp03a,Ethernet3/3/1,True
l3leaf,ism0wit01a,Ethernet1/1/1,spine,isms1itsp01a,Ethernet7/3/1,True
l3leaf,ism0wit01a,Ethernet1/2/1,spine,isms1itsp02a,Ethernet7/3/1,True
l3leaf,ism0wit01a,Ethernet2/1/1,spine,isms1itsp03a,Ethernet7/3/1,True
l3leaf,ism1vit01a,Ethernet1/1/1,spine,isms1itsp01a,Ethernet8/6/1,True
l3leaf,ism1vit01a,Ethernet1/2/1,spine,isms1itsp02a,Ethernet8/6/1,True
l3leaf,ism1vit01a,Ethernet2/1/1,spine,isms1itsp03a,Ethernet8/6/1,True
l3leaf,ism1wit01a,Ethernet1/1/1,spine,isms1itsp01a,Ethernet8/3/1,True
l3leaf,ism1wit01a,Ethernet1/2/1,spine,isms1itsp02a,Ethernet8/3/1,True
l3leaf,ism1wit01a,Ethernet2/1/1,spine,isms1itsp03a,Ethernet8/3/1,True
l3leaf,ism1yit01a,Ethernet1/1/1,spine,isms1itsp01a,Ethernet7/6/1,True
l3leaf,ism1yit01a,Ethernet1/2/1,spine,isms1itsp02a,Ethernet7/6/1,True
l3leaf,ism1yit01a,Ethernet2/1/1,spine,isms1itsp03a,Ethernet7/6/1,True
l3leaf,ism2wit01a,Ethernet1/1/1,spine,isms1itsp01a,Ethernet3/4/1,True
l3leaf,ism2wit01a,Ethernet1/2/1,spine,isms1itsp02a,Ethernet3/4/1,True
l3leaf,ism2wit01a,Ethernet2/1/1,spine,isms1itsp03a,Ethernet3/4/1,True
l3leaf,ism3wit01a,Ethernet1/1/1,spine,isms1itsp01a,Ethernet8/4/1,True
l3leaf,ism3wit01a,Ethernet1/2/1,spine,isms1itsp02a,Ethernet8/4/1,True
l3leaf,ism3wit01a,Ethernet2/1/1,spine,isms1itsp03a,Ethernet8/4/1,True
l3leaf,ism3xnit01a,Ethernet1/1/1,spine,isms1itsp01a,Ethernet4/4/1,True
l3leaf,ism3xnit01a,Ethernet1/2/1,spine,isms1itsp02a,Ethernet4/4/1,True
l3leaf,ism3xnit01a,Ethernet2/1/1,spine,isms1itsp03a,Ethernet4/4/1,True
l3leaf,ism3xnit02a,Ethernet1/1/1,spine,isms1itsp01a,Ethernet5/4/1,True
l3leaf,ism3xnit02a,Ethernet1/2/1,spine,isms1itsp02a,Ethernet5/4/1,True
l3leaf,ism3xnit02a,Ethernet2/1/1,spine,isms1itsp03a,Ethernet5/4/1,True
l3leaf,ism3xsit01a,Ethernet1/1/1,spine,isms1itsp01a,Ethernet6/4/1,True
l3leaf,ism3xsit01a,Ethernet1/2/1,spine,isms1itsp02a,Ethernet6/4/1,True
l3leaf,ism3xsit01a,Ethernet2/1/1,spine,isms1itsp03a,Ethernet6/4/1,True
l3leaf,ism3xsit02a,Ethernet1/1/1,spine,isms1itsp01a,Ethernet7/4/1,True
l3leaf,ism3xsit02a,Ethernet1/2/1,spine,isms1itsp02a,Ethernet7/4/1,True
l3leaf,ism3xsit02a,Ethernet2/1/1,spine,isms1itsp03a,Ethernet7/4/1,True
l3leaf,ismitagg01aa,Ethernet1,l2leaf,hsm2vit01a,Ethernet49,True
l3leaf,ismitagg01aa,Ethernet2,l2leaf,hsm2vit02a,Ethernet49,True
l3leaf,ismitagg01aa,Ethernet3,l2leaf,hsmpgit01a,Ethernet49,True
l3leaf,ismitagg01aa,Ethernet4,l2leaf,hsm3vit01a,Ethernet49,True
l3leaf,ismitagg01aa,Ethernet5,l2leaf,hsm3vit02a,Ethernet49,True
l3leaf,ismitagg01aa,Ethernet6,l2leaf,hs1llkk01a,Ethernet49,True
l3leaf,ismitagg01aa,Ethernet7,l2leaf,hs1llkk02a,Ethernet49,True
l3leaf,ismitagg01aa,Ethernet8,l2leaf,hs1cupit01a,Ethernet49,True
l3leaf,ismitagg01aa,Ethernet9,l2leaf,hs1cupit02a,Ethernet49,True
l3leaf,ismitagg01aa,Ethernet49/1,spine,isms1itsp01a,Ethernet5/1/1,True
l3leaf,ismitagg01aa,Ethernet50/1,spine,isms1itsp02a,Ethernet5/1/1,True
l3leaf,ismitagg01aa,Ethernet51/1,spine,isms1itsp03a,Ethernet5/1/1,True
l3leaf,ismitagg01aa,Ethernet55/1,mlag_peer,ismitagg01ba,Ethernet55/1,True
l3leaf,ismitagg01aa,Ethernet56/1,mlag_peer,ismitagg01ba,Ethernet56/1,True
l3leaf,ismitagg01ba,Ethernet1,l2leaf,hsm2vit01a,Ethernet50,True
l3leaf,ismitagg01ba,Ethernet2,l2leaf,hsm2vit02a,Ethernet50,True
l3leaf,ismitagg01ba,Ethernet3,l2leaf,hsmpgit01a,Ethernet50,True
l3leaf,ismitagg01ba,Ethernet4,l2leaf,hsm3vit01a,Ethernet50,True
l3leaf,ismitagg01ba,Ethernet5,l2leaf,hsm3vit02a,Ethernet50,True
l3leaf,ismitagg01ba,Ethernet6,l2leaf,hs1llkk01a,Ethernet50,True
l3leaf,ismitagg01ba,Ethernet7,l2leaf,hs1llkk02a,Ethernet50,True
l3leaf,ismitagg01ba,Ethernet8,l2leaf,hs1cupit01a,Ethernet50,True
l3leaf,ismitagg01ba,Ethernet9,l2leaf,hs1cupit02a,Ethernet50,True
l3leaf,ismitagg01ba,Ethernet49/1,spine,isms1itsp01a,Ethernet6/1/1,True
l3leaf,ismitagg01ba,Ethernet50/1,spine,isms1itsp02a,Ethernet6/1/1,True
l3leaf,ismitagg01ba,Ethernet51/1,spine,isms1itsp03a,Ethernet6/1/1,True
l3leaf,ismitagg01ba,Ethernet55/1,mlag_peer,ismitagg01aa,Ethernet55/1,True
l3leaf,ismitagg01ba,Ethernet56/1,mlag_peer,ismitagg01aa,Ethernet56/1,True
l3leaf,isms1itbl01a,Ethernet1/1,l3_interface,,,True
l3leaf,isms1itbl01a,Ethernet1/1.525,l3_interface,,,True
l3leaf,isms1itbl01a,Ethernet1/1.633,l3_interface,,,True
l3leaf,isms1itbl01a,Ethernet2/1,l3_interface,,,True
l3leaf,isms1itbl01a,Ethernet2/1.525,l3_interface,,,True
l3leaf,isms1itbl01a,Ethernet2/1.633,l3_interface,,,True
l3leaf,isms1itbl01a,Ethernet25/1,spine,isms1itsp01a,Ethernet3/1/1,True
l3leaf,isms1itbl01a,Ethernet26/1,spine,isms1itsp02a,Ethernet3/1/1,True
l3leaf,isms1itbl01a,Ethernet27/1,spine,isms1itsp03a,Ethernet3/1/1,True
l3leaf,isms1itbl01a,Ethernet31/1,mlag_peer,ISMS1ITBL02A,Ethernet31/1,True
l3leaf,isms1itbl01a,Ethernet32/1,mlag_peer,ISMS1ITBL02A,Ethernet32/1,True
l3leaf,ISMS1ITBL02A,Ethernet1/1,l3_interface,,,True
l3leaf,ISMS1ITBL02A,Ethernet1/1.525,l3_interface,,,True
l3leaf,ISMS1ITBL02A,Ethernet1/1.633,l3_interface,,,True
l3leaf,ISMS1ITBL02A,Ethernet2/1,l3_interface,,,True
l3leaf,ISMS1ITBL02A,Ethernet2/1.525,l3_interface,,,True
l3leaf,ISMS1ITBL02A,Ethernet2/1.633,l3_interface,,,True
l3leaf,ISMS1ITBL02A,Ethernet25/1,spine,isms1itsp01a,Ethernet4/1/1,True
l3leaf,ISMS1ITBL02A,Ethernet26/1,spine,isms1itsp02a,Ethernet4/1/1,True
l3leaf,ISMS1ITBL02A,Ethernet27/1,spine,isms1itsp03a,Ethernet4/1/1,True
l3leaf,ISMS1ITBL02A,Ethernet31/1,mlag_peer,isms1itbl01a,Ethernet31/1,True
l3leaf,ISMS1ITBL02A,Ethernet32/1,mlag_peer,isms1itbl01a,Ethernet32/1,True
spine,isms1itsp01a,Ethernet3/1/1,l3leaf,isms1itbl01a,Ethernet25/1,True
spine,isms1itsp01a,Ethernet3/2/1,l3leaf,is11cit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet3/3/1,l3leaf,is11keit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet3/4/1,l3leaf,ism2wit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet3/5/1,l3leaf,IS00AIT01A,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet3/6/1,l3leaf,is02ait01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet4/1/1,l3leaf,ISMS1ITBL02A,Ethernet25/1,True
spine,isms1itsp01a,Ethernet4/2/1,l3leaf,is11ait01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet4/3/1,l3leaf,is11heit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet4/4/1,l3leaf,ism3xnit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet4/5/1,l3leaf,is00bit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet4/6/1,l3leaf,is02bit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet5/1/1,l3leaf,ismitagg01aa,Ethernet49/1,True
spine,isms1itsp01a,Ethernet5/2/1,l3leaf,is11jwit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet5/3/1,l3leaf,is11deit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet5/4/1,l3leaf,ism3xnit02a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet5/5/1,l3leaf,is00cit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet5/6/1,l3leaf,is03ait01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet6/1/1,l3leaf,ismitagg01ba,Ethernet49/1,True
spine,isms1itsp01a,Ethernet6/2/1,l3leaf,is11gwit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet6/3/1,l3leaf,is11beit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet6/4/1,l3leaf,ism3xsit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet6/5/1,l3leaf,is01ait01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet6/6/1,l3leaf,is03bit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet7/1/1,l3leaf,is11jit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet7/2/1,l3leaf,is11ewit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet7/3/1,l3leaf,ism0wit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet7/4/1,l3leaf,ism3xsit02a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet7/5/1,l3leaf,is01bit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet7/6/1,l3leaf,ism1yit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet8/1/1,l3leaf,is11git01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet8/2/1,l3leaf,is11cwit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet8/3/1,l3leaf,ism1wit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet8/4/1,l3leaf,ism3wit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet8/5/1,l3leaf,is01cit01a,Ethernet1/1/1,True
spine,isms1itsp01a,Ethernet8/6/1,l3leaf,ism1vit01a,Ethernet1/1/1,True
spine,isms1itsp02a,Ethernet3/1/1,l3leaf,isms1itbl01a,Ethernet26/1,True
spine,isms1itsp02a,Ethernet3/2/1,l3leaf,is11cit01a,Ethernet1/2/1,True
spine,isms1itsp02a,Ethernet3/3/1,l3leaf,is11keit01a,Ethernet1/2/1,True
spine,isms1itsp02a,Ethernet3/4/1,l3leaf,ism2wit01a,Ethernet1/2/1,True
spine,isms1itsp02a,Ethernet3/5/1,l3leaf,IS00AIT01A,Ethernet1/2/1,True
spine,isms1itsp02a,Ethernet3/6/1,l3leaf,is02ait01a,Ethernet1/2/1,True
spine,isms1itsp02a,Ethernet4/1/1,l3leaf,ISMS1ITBL02A,Ethernet26/1,True
spine,isms1itsp02a,Ethernet4/2/1,l3leaf,is11ait01a,Ethernet1/2/1,True
spine,isms1itsp02a,Ethernet4/3/1,l3leaf,is11heit01a,Ethernet1/2/1,True
spine,isms1itsp02a,Ethernet4/4/1,l3leaf,ism3xnit01a,Ethernet1/2/1,True
spine,isms1itsp02a,Ethernet4/5/1,l3leaf,is00bit01a,Ethernet1/2/1,True
spine,isms1itsp02a,Ethernet4/6/1,l3leaf,is02bit01a,Ethernet1/2/1,True
spine,isms1itsp02a,Ethernet5/1/1,l3leaf,ismitagg01aa,Ethernet50/1,True
spine,isms1itsp02a,Ethernet5/2/1,l3leaf,is11jwit01a,Ethernet1/2/1,True
spine,isms1itsp02a,Ethernet5/3/1,l3leaf,is11deit01a,Ethernet1/2/1,True
spine,isms1itsp02a,Ethernet5/4/1,l3leaf,ism3xnit02a,Ethernet1/2/1,True
spine,isms1itsp02a,Ethernet5/5/1,l3leaf,is00cit01a,Ethernet1/2/1,True
spine,isms1itsp02a,Ethernet5/6/1,l3leaf,is03ait01a,Ethernet1/2/1,True
spine,isms1itsp02a,Ethernet6/1/1,l3leaf,ismitagg01ba,Ethernet50/1,True
spine,isms1itsp02a,Ethernet6/2/1,l3leaf,is11gwit01a,Ethernet1/2/1,True
spine,isms1itsp02a,Ethernet6/3/1,l3leaf,is11beit01a,Ethernet1/2/1,True
spine,isms1itsp02a,Ethernet6/4/1,l3leaf,ism3xsit01a,Ethernet1/2/1,True
spine,isms1itsp02a,Ethernet6/5/1,l3leaf,is01ait01a,Ethernet1/2/1,True
spine,isms1itsp02a,Ethernet6/6/1,l3leaf,is03bit01a,Ethernet1/2/1,True
spine,isms1itsp02a,Ethernet7/1/1,l3leaf,is11jit01a,Ethernet1/2/1,True
spine,isms1itsp02a,Ethernet7/2/1,l3leaf,is11ewit01a,Ethernet1/2/1,True
spine,isms1itsp02a,Ethernet7/3/1,l3leaf,ism0wit01a,Ethernet1/2/1,True
spine,isms1itsp02a,Ethernet7/4/1,l3leaf,ism3xsit02a,Ethernet1/2/1,True
spine,isms1itsp02a,Ethernet7/5/1,l3leaf,is01bit01a,Ethernet1/2/1,True
spine,isms1itsp02a,Ethernet7/6/1,l3leaf,ism1yit01a,Ethernet1/2/1,True
spine,isms1itsp02a,Ethernet8/1/1,l3leaf,is11git01a,Ethernet1/2/1,True
spine,isms1itsp02a,Ethernet8/2/1,l3leaf,is11cwit01a,Ethernet1/2/1,True
spine,isms1itsp02a,Ethernet8/3/1,l3leaf,ism1wit01a,Ethernet1/2/1,True
spine,isms1itsp02a,Ethernet8/4/1,l3leaf,ism3wit01a,Ethernet1/2/1,True
spine,isms1itsp02a,Ethernet8/5/1,l3leaf,is01cit01a,Ethernet1/2/1,True
spine,isms1itsp02a,Ethernet8/6/1,l3leaf,ism1vit01a,Ethernet1/2/1,True
spine,isms1itsp03a,Ethernet3/1/1,l3leaf,isms1itbl01a,Ethernet27/1,True
spine,isms1itsp03a,Ethernet3/2/1,l3leaf,is11cit01a,Ethernet2/1/1,True
spine,isms1itsp03a,Ethernet3/3/1,l3leaf,is11keit01a,Ethernet2/1/1,True
spine,isms1itsp03a,Ethernet3/4/1,l3leaf,ism2wit01a,Ethernet2/1/1,True
spine,isms1itsp03a,Ethernet3/5/1,l3leaf,IS00AIT01A,Ethernet2/1/1,True
spine,isms1itsp03a,Ethernet3/6/1,l3leaf,is02ait01a,Ethernet2/1/1,True
spine,isms1itsp03a,Ethernet4/1/1,l3leaf,ISMS1ITBL02A,Ethernet27/1,True
spine,isms1itsp03a,Ethernet4/2/1,l3leaf,is11ait01a,Ethernet2/1/1,True
spine,isms1itsp03a,Ethernet4/3/1,l3leaf,is11heit01a,Ethernet2/1/1,True
spine,isms1itsp03a,Ethernet4/4/1,l3leaf,ism3xnit01a,Ethernet2/1/1,True
spine,isms1itsp03a,Ethernet4/5/1,l3leaf,is00bit01a,Ethernet2/1/1,True
spine,isms1itsp03a,Ethernet4/6/1,l3leaf,is02bit01a,Ethernet2/1/1,True
spine,isms1itsp03a,Ethernet5/1/1,l3leaf,ismitagg01aa,Ethernet51/1,True
spine,isms1itsp03a,Ethernet5/2/1,l3leaf,is11jwit01a,Ethernet2/1/1,True
spine,isms1itsp03a,Ethernet5/3/1,l3leaf,is11deit01a,Ethernet2/1/1,True
spine,isms1itsp03a,Ethernet5/4/1,l3leaf,ism3xnit02a,Ethernet2/1/1,True
spine,isms1itsp03a,Ethernet5/5/1,l3leaf,is00cit01a,Ethernet2/1/1,True
spine,isms1itsp03a,Ethernet5/6/1,l3leaf,is03ait01a,Ethernet2/1/1,True
spine,isms1itsp03a,Ethernet6/1/1,l3leaf,ismitagg01ba,Ethernet51/1,True
spine,isms1itsp03a,Ethernet6/2/1,l3leaf,is11gwit01a,Ethernet2/1/1,True
spine,isms1itsp03a,Ethernet6/3/1,l3leaf,is11beit01a,Ethernet2/1/1,True
spine,isms1itsp03a,Ethernet6/4/1,l3leaf,ism3xsit01a,Ethernet2/1/1,True
spine,isms1itsp03a,Ethernet6/5/1,l3leaf,is01ait01a,Ethernet2/1/1,True
spine,isms1itsp03a,Ethernet6/6/1,l3leaf,is03bit01a,Ethernet2/1/1,True
spine,isms1itsp03a,Ethernet7/1/1,l3leaf,is11jit01a,Ethernet2/1/1,True
spine,isms1itsp03a,Ethernet7/2/1,l3leaf,is11ewit01a,Ethernet2/1/1,True
spine,isms1itsp03a,Ethernet7/3/1,l3leaf,ism0wit01a,Ethernet2/1/1,True
spine,isms1itsp03a,Ethernet7/4/1,l3leaf,ism3xsit02a,Ethernet2/1/1,True
spine,isms1itsp03a,Ethernet7/5/1,l3leaf,is01bit01a,Ethernet2/1/1,True
spine,isms1itsp03a,Ethernet7/6/1,l3leaf,ism1yit01a,Ethernet2/1/1,True
spine,isms1itsp03a,Ethernet8/1/1,l3leaf,is11git01a,Ethernet2/1/1,True
spine,isms1itsp03a,Ethernet8/2/1,l3leaf,is11cwit01a,Ethernet2/1/1,True
spine,isms1itsp03a,Ethernet8/3/1,l3leaf,ism1wit01a,Ethernet2/1/1,True
spine,isms1itsp03a,Ethernet8/4/1,l3leaf,ism3wit01a,Ethernet2/1/1,True
spine,isms1itsp03a,Ethernet8/5/1,l3leaf,is01cit01a,Ethernet2/1/1,True
spine,isms1itsp03a,Ethernet8/6/1,l3leaf,ism1vit01a,Ethernet2/1/1,True
